user_id,create_time,content,sms_type
id001,2020-0320 15:00:00,hello,send
id002,2020-0320 15:00:00,hello,send
id002,2020-0320 15:00:00,hello,send
id002,2020-0320 15:00:00,hello,send
id002,2020-0320 15:00:00,hello,send
id003,2020-0320 15:00:00,hello,send
id003,2020-0320 15:00:00,hello,send
id003,2020-0320 15:00:00,hello,receive
id004,2020-0320 15:00:00,hello,receive
id004,2020-0320 15:00:00,hello,send
id004,2020-0320 15:00:00,hello,send
id004,2020-0320 15:00:00,hello,receive
id004,2020-0320 15:00:00,hello,send
id005,2020-0320 15:00:00,hello,receive
id005,2020-0320 15:00:00,hello,receive
id005,2020-0320 15:00:00,hello,send
id005,2020-0320 15:00:00,hello,receive
id006,2020-0320 15:00:00,hello,send
id006,2020-0320 15:00:00,hello,send
id006,2020-0320 15:00:00,hello,send
id006,2020-0320 15:00:00,hello,receive
id007,2020-0320 15:00:00,hello,send
id008,2020-0320 15:00:00,hello,receive
id008,2020-0320 15:00:00,hello,send
id009,2020-0320 15:00:00,hello,receive
id010,2020-0320 15:00:00,hello,receive
id011,2020-0320 15:00:00,hello,receive
id011,2020-0320 15:00:00,hello,receive
id011,2020-0320 15:00:00,hello,receive
id012,2020-0320 15:00:00,hello,send
id012,2020-0320 15:00:00,hello,receive
id012,2020-0320 15:00:00,hello,receive
id013,2020-0320 15:00:00,hello,send
id013,2020-0320 15:00:00,hello,receive
id014,2020-0320 15:00:00,hello,receive
id014,2020-0320 15:00:00,hello,receive
id014,2020-0320 15:00:00,hello,receive
id015,2020-0320 15:00:00,hello,send
id015,2020-0320 15:00:00,hello,receive
id015,2020-0320 15:00:00,hello,receive
id016,2020-0320 15:00:00,hello,send
id016,2020-0320 15:00:00,hello,receive
id016,2020-0320 15:00:00,hello,receive
id016,2020-0320 15:00:00,hello,receive
id016,2020-0320 15:00:00,hello,send
id017,2020-0320 15:00:00,hello,receive
id017,2020-0320 15:00:00,hello,receive
id017,2020-0320 15:00:00,hello,send
id018,2020-0320 15:00:00,hello,send
id018,2020-0320 15:00:00,hello,send
id018,2020-0320 15:00:00,hello,receive
